link,title,description,cleaned_description
https://www.dawnnews.tv,Home - Dawnnews,"Visit dawnnews.tv for latest news, breaking news in Urdu today from Pakistan, world, entertainment, business, sports, health and analysis.",visit dawnnewstv for latest news breaking news in urdu today from pakistan world entertainment business sports health and analysis
https://images.dawn.com,Home - Images,Film. Fashion. Celebrity. Culture. All your lifestyle needs met by Pakistan&#039;s hippest insider. IMAGES - Home,film fashion celebrity culture all your lifestyle needs met by pakistans hippest insider images  home
https://herald.dawn.com,Herald - Herald,Become a print subscriber of Herald in a few clicks.,become a print subscriber of herald in a few clicks
https://aurora.dawn.com,Home - Aurora,"AURORA is Pakistan's leading advertising, marketing and media magazine; it is widely recognised as the voice of the industry.",aurora is pakistans leading advertising marketing and media magazine it is widely recognised as the voice of the industry
http://classifieds.dawn.com/,Dawn Classifieds,Classifieds advertisement Real Estate Business Automobiles  Careers Jobs Recruitment Islamabd Karachi Lahore Pakistan cars power price toyota suzuki,classifieds advertisement real estate business automobiles  careers jobs recruitment islamabd karachi lahore pakistan cars power price toyota suzuki
https://obituary.dawn.com,Dawn Obituaries - Book Dawn Newspaper Obituary Online,Place national and regional newspaper obituaries through Dawn's online obituary booking platform,place national and regional newspaper obituaries through dawns online obituary booking platform
https://www.dawn.com/,Home - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com,Home - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/latest-news,Latest - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/pakistan,Pakistan - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/opinion,Opinion - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/business,Business - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/world,World - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/entertainment,Home - Images,Film. Fashion. Celebrity. Culture. All your lifestyle needs met by Pakistan&#039;s hippest insider. IMAGES - Home,film fashion celebrity culture all your lifestyle needs met by pakistans hippest insider images  home
https://www.dawn.com/prism,Prism - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/sport,Sport - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/magazines,Magazines - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/tech,Tech - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/videos,Videos - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/popular,Popular - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawn.com/newspaper,Archive - DAWN.COM,Checkout for the Latest and Top News from Pakistan and around the world,checkout for the latest and top news from pakistan and around the world
https://www.dawnrelief.com/,Dawn Relief for Floods - DAWN.COM,"We are now gearing up to rebuild devastated settlements with homes, schools and a drinking water supply scheme.",we are now gearing up to rebuild devastated settlements with homes schools and a drinking water supply scheme
https://www.dawn.com/live/elections-2024#1822566,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/live/elections-2024#1822564,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/live/elections-2024#1822561,Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,live updates elections 
https://www.dawn.com/live/gaza-invasion,Live Updates: Gaza invasion - DAWN.COM,Live Updates: Gaza invasion,live updates gaza invasion
https://www.dawn.com/news/1832593/ireland-and-spain-could-recognise-palestinian-state-this-month,Ireland and Spain could recognise Palestinian state this month - World - DAWN.COM,The report reveals that countries have been anticipating a vote of the United Nations General Assembly on May 10.,the report reveals that countries have been anticipating a vote of the united nations general assembly on may 
https://www.dawn.com/news/1832474/iran-to-change-nuclear-doctrine-if-existence-threatened-adviser-to-supreme-leader-says,"Iran to change nuclear doctrine if existence threatened, adviser to supreme leader says - World - DAWN.COM","“In the case of an attack on our nuclear facilities by the Zionist regime (Israel), our deterrence will change,"" official says.",in the case of an attack on our nuclear facilities by the zionist regime israel our deterrence will change official says
https://www.dawn.com/news/1832152/most-hated-country-in-the-world,Most hated country in the world - Pakistan - DAWN.COM,Israel is America’s spoilt child. It is used to throwing a tantrum on the floor of the toy store if it does not get what it wants.,israel is americas spoilt child it is used to throwing a tantrum on the floor of the toy store if it does not get what it wants
https://www.dawn.com/news/1832868/sultan-azlan-shah-cup-pakistan-fall-as-dead-sport-recaptures-audience-once-again,Sultan Azlan Shah Cup: Pakistan fall as ‘dead sport’ recaptures audience once again - Sport - DAWN.COM,Japan win as they convert all four penalties in the shootout while Pakistan only manage one out of three.,japan win as they convert all four penalties in the shootout while pakistan only manage one out of three
https://www.dawn.com/news/1832880/england-great-anderson-will-make-last-test-appearance-in-west-indies-clash,‘England great’ Anderson will make last Test appearance in West Indies clash - Sport - DAWN.COM,The 41-year-old is the first seamer in history to reach 700 Test wickets.,the yearold is the first seamer in history to reach  test wickets
https://www.dawn.com/news/1832859/pti-issues-show-cause-notice-to-sher-afzal-marwat-for-harming-party-interests-violating-discipline,"PTI issues show-cause notice to Sher Afzal Marwat for harming party interests, violating discipline - Pakistan - DAWN.COM",Says Marwat has been called to explain himself in writing within three days of the notice as to why disciplinary action should not be taken against him.,says marwat has been called to explain himself in writing within three days of the notice as to why disciplinary action should not be taken against him
https://www.dawn.com/news/1832862/more-than-200-dead-in-afghanistan-flash-floods-un,More than 200 dead in Afghanistan flash floods: UN - World - DAWN.COM,"Up to 1,500 homes have been destroyed in Baghlani Jadid district alone; Pakistan offers condolences.",up to  homes have been destroyed in baghlani jadid district alone pakistan offers condolences
https://www.dawn.com/news/1832867/india-poll-watchdogs-inaction-lets-pm-modi-commit-brazen-violations-opposition-says,"India poll watchdog’s inaction lets PM Modi commit ‘brazen’ violations, opposition says - World - DAWN.COM","Released opposition leader Arvind Kejriwal urges Indians to battle ""dictatorship"".",released opposition leader arvind kejriwal urges indians to battle dictatorship
https://www.dawn.com/news/1832858/president-zardari-granted-immunity-from-criminal-proceedings-by-islamabad-accountability-court,President Zardari granted immunity from criminal proceedings by Islamabad accountability court - Pakistan - DAWN.COM,He had petitioned the court last month under Section 248(2) of the Constitution.,he had petitioned the court last month under section  of the constitution
https://www.dawn.com/news/1832796/pia-staff-forgets-to-put-boys-body-on-plane,PIA staff forgets to put boy’s body on plane - Pakistan - DAWN.COM,"Shocked parents, relatives protest against airline management’s negligence at Skardu airport.",shocked parents relatives protest against airline managements negligence at skardu airport
https://www.dawn.com/news/1832869/first-extreme-solar-storm-in-20-years-strikes-earth-brings-spectacular-auroras,"First ‘extreme’ solar storm in 20 years strikes earth, brings spectacular auroras - World - DAWN.COM",Social media lit up with people posting pictures of auroras from northern Europe and Australasia.,social media lit up with people posting pictures of auroras from northern europe and australasia
https://www.dawn.com/news/1832750/ruling-coalition-loses-27-reserved-seats-in-punjab,Ruling coalition loses 27 reserved seats in Punjab - Pakistan - DAWN.COM,"Speaker suspends PML-N’s 23, PPP’s two, and one member each of PML-Q, IPP.",speaker suspends pmlns  ppps two and one member each of pmlq ipp
https://www.youtube.com/c/DawnNewsEnglish,DawnNews English - YouTube,"Infinite News. Instant Insight. Dawn News English - your window into the latest developments, and analysis from across the world. Official Facebook: https://...",infinite news instant insight dawn news english  your window into the latest developments and analysis from across the world official facebook https
https://www.youtube.com/watch?v=UeSr8kxz7kE,Is PTI Ready to Apologise for May 9th?  | Nadia Naqi | Dawn News English - YouTube,Dawn News’s Nadia Naqi in conversation with PTO leader Shoaib Shaheen. --------------------------------------------------------------------------------------...,dawn newss nadia naqi in conversation with pto leader shoaib shaheen 
https://www.youtube.com/watch?v=UeSr8kxz7kE,Is PTI Ready to Apologise for May 9th?  | Nadia Naqi | Dawn News English - YouTube,Dawn News‚Äôs Nadia Naqi in conversation with PTO leader Shoaib Shaheen. --------------------------------------------------------------------------------------...,dawn newss nadia naqi in conversation with pto leader shoaib shaheen 
https://www.youtube.com/watch?v=DLnFKstpqSM,What On Earth Does The Government Want From Us? | Zara Hat Kay | Dawn News - YouTube,üì∫ Watch Dawn News Live Stream:https://www.youtube.com/watch?v=-JrEV2rian0What On Earth Does The Government Want From Us? | Zara Hat Kay | Dawn NewsDawn News..., watch dawn news live streamhttpswwwyoutubecomwatchvjrevrianwhat on earth does the government want from us  zara hat kay  dawn newsdawn news
https://www.youtube.com/watch?v=ax6GtKBV4o4,How Israel's Killer Robots In Gaza Are Redefining Automated Warfare? | Dawn News English - YouTube,"Join Shahzeb Jillani on the 'Spotlight Show' as he sits down with human rights lawyer Ousman Noor from 'The Civilian Agenda (CSO), who was sacked for speakin...",join shahzeb jillani on the spotlight show as he sits down with human rights lawyer ousman noor from the civilian agenda cso who was sacked for speakin
https://www.youtube.com/watch?v=6Y6pv4dgwok,Top News Stories: Pakistan's Lunar Mission | Israel-Gaza | Russia-Ukraine | Wars | Dawn News English - YouTube,ùêÉùêöùê∞ùêß ùêçùêûùê∞ùê¨ ùêÑùêßùê†ùê•ùê¢ùê¨ùê°'ùê¨ ùêìùê®ùê© ùêçùêûùê∞ùê¨ ùêíùê≠ùê®ùê´ùê¢ùêûùê¨ - your ultimate source for staying informed and up to date with the most significant news ...,       your ultimate source for staying informed and up to date with the most significant news 
https://www.youtube.com/watch?v=368pk1LtbvY,Why Are Israel And Its Western Allies On The Edge Over ICC Arrest Warrants? | Dawn News English - YouTube,"In the Palestinian territory it controls, Israel has often been accused of acting without consequence, backed by support from the United States and the broad...",in the palestinian territory it controls israel has often been accused of acting without consequence backed by support from the united states and the broad
https://www.youtube.com/watch?v=ZKNxVl6yFyc,May 9 | Military Courts Pakistan: What About The Prisoners? | Rida Hosein | Dawn News English - YouTube,"A YEAR since the events of May 9, 2023, what has changed? Rida Hosein takes a deep dive into laws enforced. -------------------------------------------------...",a year since the events of may   what has changed rida hosein takes a deep dive into laws enforced 
