[2024-05-12T20:40:52.335+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:40:52.417+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Data_Extraction_Transformation_Loading.install_dvc_gdrive manual__2024-05-12T20:40:30.453200+00:00 [queued]>
[2024-05-12T20:40:52.442+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Data_Extraction_Transformation_Loading.install_dvc_gdrive manual__2024-05-12T20:40:30.453200+00:00 [queued]>
[2024-05-12T20:40:52.443+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:40:52.484+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): install_dvc_gdrive> on 2024-05-12 20:40:30.453200+00:00
[2024-05-12T20:40:52.501+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'Data_Extraction_Transformation_Loading', 'install_dvc_gdrive', 'manual__2024-05-12T20:40:30.453200+00:00', '--job-id', '162', '--raw', '--subdir', 'DAGS_FOLDER/i202478_dag.py', '--cfg-path', '/tmp/tmpnc_ou4je']
[2024-05-12T20:40:52.505+0000] {standard_task_runner.py:91} INFO - Job 162: Subtask install_dvc_gdrive
[2024-05-12T20:40:52.505+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=114) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-12T20:40:52.506+0000] {standard_task_runner.py:63} INFO - Started process 123 to run task
[2024-05-12T20:40:52.618+0000] {task_command.py:426} INFO - Running <TaskInstance: Data_Extraction_Transformation_Loading.install_dvc_gdrive manual__2024-05-12T20:40:30.453200+00:00 [running]> on host 3a6423a4af12
[2024-05-12T20:40:52.891+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='Data_Extraction_Transformation_Loading' AIRFLOW_CTX_TASK_ID='install_dvc_gdrive' AIRFLOW_CTX_EXECUTION_DATE='2024-05-12T20:40:30.453200+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-12T20:40:30.453200+00:00'
[2024-05-12T20:40:52.892+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-12T20:40:52.919+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-05-12T20:40:52.923+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'pip install dvc[gdrive]']
[2024-05-12T20:40:52.943+0000] {subprocess.py:86} INFO - Output:
[2024-05-12T20:40:55.475+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc[gdrive] in /home/airflow/.local/lib/python3.12/site-packages (3.50.1)
[2024-05-12T20:40:55.702+0000] {subprocess.py:93} INFO - Requirement already satisfied: attrs>=22.2.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (23.2.0)
[2024-05-12T20:40:55.706+0000] {subprocess.py:93} INFO - Requirement already satisfied: celery in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (5.4.0)
[2024-05-12T20:40:55.711+0000] {subprocess.py:93} INFO - Requirement already satisfied: colorama>=0.3.9 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.4.6)
[2024-05-12T20:40:55.714+0000] {subprocess.py:93} INFO - Requirement already satisfied: configobj>=5.0.6 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (5.0.8)
[2024-05-12T20:40:55.719+0000] {subprocess.py:93} INFO - Requirement already satisfied: distro>=1.3 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.9.0)
[2024-05-12T20:40:55.724+0000] {subprocess.py:93} INFO - Requirement already satisfied: dpath<3,>=2.1.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.1.6)
[2024-05-12T20:40:55.726+0000] {subprocess.py:93} INFO - Requirement already satisfied: dulwich in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.22.1)
[2024-05-12T20:40:55.729+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-data<3.16,>=3.15 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.15.1)
[2024-05-12T20:40:55.731+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-http>=2.29.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.32.0)
[2024-05-12T20:40:55.732+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-objects in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (5.1.0)
[2024-05-12T20:40:55.735+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-render<2,>=1.0.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.0.2)
[2024-05-12T20:40:55.738+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-studio-client<1,>=0.20 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.20.0)
[2024-05-12T20:40:55.740+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-task<1,>=0.3.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.4.0)
[2024-05-12T20:40:55.742+0000] {subprocess.py:93} INFO - Requirement already satisfied: flatten-dict<1,>=0.4.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.4.2)
[2024-05-12T20:40:55.744+0000] {subprocess.py:93} INFO - Requirement already satisfied: flufl.lock<8,>=5 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (7.1.1)
[2024-05-12T20:40:55.746+0000] {subprocess.py:93} INFO - Requirement already satisfied: fsspec in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2024.3.1)
[2024-05-12T20:40:55.748+0000] {subprocess.py:93} INFO - Requirement already satisfied: funcy>=1.14 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.0)
[2024-05-12T20:40:55.750+0000] {subprocess.py:93} INFO - Requirement already satisfied: grandalf<1,>=0.7 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.8)
[2024-05-12T20:40:55.752+0000] {subprocess.py:93} INFO - Requirement already satisfied: gto<2,>=1.6.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.7.1)
[2024-05-12T20:40:55.754+0000] {subprocess.py:93} INFO - Requirement already satisfied: hydra-core>=1.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.3.2)
[2024-05-12T20:40:55.756+0000] {subprocess.py:93} INFO - Requirement already satisfied: iterative-telemetry>=0.0.7 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.0.8)
[2024-05-12T20:40:55.757+0000] {subprocess.py:93} INFO - Requirement already satisfied: kombu in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (5.3.7)
[2024-05-12T20:40:55.759+0000] {subprocess.py:93} INFO - Requirement already satisfied: networkx>=2.5 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.3)
[2024-05-12T20:40:55.761+0000] {subprocess.py:93} INFO - Requirement already satisfied: omegaconf in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.3.0)
[2024-05-12T20:40:55.762+0000] {subprocess.py:93} INFO - Requirement already satisfied: packaging>=19 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (24.0)
[2024-05-12T20:40:55.766+0000] {subprocess.py:93} INFO - Requirement already satisfied: pathspec>=0.10.3 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.12.1)
[2024-05-12T20:40:55.770+0000] {subprocess.py:93} INFO - Requirement already satisfied: platformdirs<4,>=3.1.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.11.0)
[2024-05-12T20:40:55.774+0000] {subprocess.py:93} INFO - Requirement already satisfied: psutil>=5.8 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (5.9.8)
[2024-05-12T20:40:55.776+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydot>=1.2.4 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.0.0)
[2024-05-12T20:40:55.778+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygtrie>=2.3.2 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.5.0)
[2024-05-12T20:40:55.781+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyparsing>=2.4.7 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.1.2)
[2024-05-12T20:40:55.783+0000] {subprocess.py:93} INFO - Requirement already satisfied: requests>=2.22 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (2.31.0)
[2024-05-12T20:40:55.786+0000] {subprocess.py:93} INFO - Requirement already satisfied: rich>=12 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (13.7.1)
[2024-05-12T20:40:55.789+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml>=0.17.11 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.18.6)
[2024-05-12T20:40:55.791+0000] {subprocess.py:93} INFO - Requirement already satisfied: scmrepo<4,>=3.3.2 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.3.2)
[2024-05-12T20:40:55.793+0000] {subprocess.py:93} INFO - Requirement already satisfied: shortuuid>=0.5 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.0.13)
[2024-05-12T20:40:55.796+0000] {subprocess.py:93} INFO - Requirement already satisfied: shtab<2,>=1.3.4 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (1.7.1)
[2024-05-12T20:40:55.803+0000] {subprocess.py:93} INFO - Requirement already satisfied: tabulate>=0.8.7 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.9.0)
[2024-05-12T20:40:55.805+0000] {subprocess.py:93} INFO - Requirement already satisfied: tomlkit>=0.11.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.12.4)
[2024-05-12T20:40:55.809+0000] {subprocess.py:93} INFO - Requirement already satisfied: tqdm<5,>=4.63.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (4.66.4)
[2024-05-12T20:40:55.813+0000] {subprocess.py:93} INFO - Requirement already satisfied: voluptuous>=0.11.7 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (0.14.2)
[2024-05-12T20:40:55.815+0000] {subprocess.py:93} INFO - Requirement already satisfied: zc.lockfile>=1.2.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.0.post1)
[2024-05-12T20:40:55.818+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-gdrive<4,>=3 in /home/airflow/.local/lib/python3.12/site-packages (from dvc[gdrive]) (3.0.1)
[2024-05-12T20:40:55.849+0000] {subprocess.py:93} INFO - Requirement already satisfied: six in /home/airflow/.local/lib/python3.12/site-packages (from configobj>=5.0.6->dvc[gdrive]) (1.16.0)
[2024-05-12T20:40:55.883+0000] {subprocess.py:93} INFO - Requirement already satisfied: dictdiffer>=0.8.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc[gdrive]) (0.9.0)
[2024-05-12T20:40:55.887+0000] {subprocess.py:93} INFO - Requirement already satisfied: diskcache>=5.2.1 in /home/airflow/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc[gdrive]) (5.6.3)
[2024-05-12T20:40:55.892+0000] {subprocess.py:93} INFO - Requirement already satisfied: sqltrie<1,>=0.11.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc[gdrive]) (0.11.0)
[2024-05-12T20:40:55.923+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydrive2>=1.19.0 in /home/airflow/.local/lib/python3.12/site-packages (from pydrive2[fsspec]>=1.19.0->dvc-gdrive<4,>=3->dvc[gdrive]) (1.19.0)
[2024-05-12T20:40:55.954+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp-retry>=2.5.0 in /home/airflow/.local/lib/python3.12/site-packages (from dvc-http>=2.29.0->dvc[gdrive]) (2.8.3)
[2024-05-12T20:40:56.278+0000] {subprocess.py:93} INFO - Requirement already satisfied: billiard<5.0,>=4.2.0 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (4.2.0)
[2024-05-12T20:40:56.283+0000] {subprocess.py:93} INFO - Requirement already satisfied: vine<6.0,>=5.1.0 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (5.1.0)
[2024-05-12T20:40:56.287+0000] {subprocess.py:93} INFO - Requirement already satisfied: click<9.0,>=8.1.2 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (8.1.7)
[2024-05-12T20:40:56.290+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-didyoumean>=0.3.0 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (0.3.1)
[2024-05-12T20:40:56.294+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-repl>=0.2.0 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (0.3.0)
[2024-05-12T20:40:56.297+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-plugins>=1.1.1 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (1.1.1)
[2024-05-12T20:40:56.299+0000] {subprocess.py:93} INFO - Requirement already satisfied: tzdata>=2022.7 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (2024.1)
[2024-05-12T20:40:56.303+0000] {subprocess.py:93} INFO - Requirement already satisfied: python-dateutil>=2.8.2 in /home/airflow/.local/lib/python3.12/site-packages (from celery->dvc[gdrive]) (2.9.0.post0)
[2024-05-12T20:40:56.325+0000] {subprocess.py:93} INFO - Requirement already satisfied: atpublic>=2.3 in /home/airflow/.local/lib/python3.12/site-packages (from flufl.lock<8,>=5->dvc[gdrive]) (4.1.0)
[2024-05-12T20:40:56.417+0000] {subprocess.py:93} INFO - Requirement already satisfied: typer>=0.4.1 in /home/airflow/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc[gdrive]) (0.12.3)
[2024-05-12T20:40:56.425+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydantic!=2.0.0,<3,>=1.9.0 in /home/airflow/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc[gdrive]) (2.7.1)
[2024-05-12T20:40:56.428+0000] {subprocess.py:93} INFO - Requirement already satisfied: semver>=2.13.0 in /home/airflow/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc[gdrive]) (3.0.2)
[2024-05-12T20:40:56.430+0000] {subprocess.py:93} INFO - Requirement already satisfied: entrypoints in /home/airflow/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc[gdrive]) (0.4)
[2024-05-12T20:40:56.442+0000] {subprocess.py:93} INFO - Requirement already satisfied: antlr4-python3-runtime==4.9.* in /home/airflow/.local/lib/python3.12/site-packages (from hydra-core>=1.1->dvc[gdrive]) (4.9.3)
[2024-05-12T20:40:56.472+0000] {subprocess.py:93} INFO - Requirement already satisfied: appdirs in /home/airflow/.local/lib/python3.12/site-packages (from iterative-telemetry>=0.0.7->dvc[gdrive]) (1.4.4)
[2024-05-12T20:40:56.474+0000] {subprocess.py:93} INFO - Requirement already satisfied: filelock in /home/airflow/.local/lib/python3.12/site-packages (from iterative-telemetry>=0.0.7->dvc[gdrive]) (3.14.0)
[2024-05-12T20:40:56.512+0000] {subprocess.py:93} INFO - Requirement already satisfied: amqp<6.0.0,>=5.1.1 in /home/airflow/.local/lib/python3.12/site-packages (from kombu->dvc[gdrive]) (5.2.0)
[2024-05-12T20:40:56.546+0000] {subprocess.py:93} INFO - Requirement already satisfied: PyYAML>=5.1.0 in /home/airflow/.local/lib/python3.12/site-packages (from omegaconf->dvc[gdrive]) (6.0.1)
[2024-05-12T20:40:56.632+0000] {subprocess.py:93} INFO - Requirement already satisfied: charset-normalizer<4,>=2 in /home/airflow/.local/lib/python3.12/site-packages (from requests>=2.22->dvc[gdrive]) (3.3.2)
[2024-05-12T20:40:56.634+0000] {subprocess.py:93} INFO - Requirement already satisfied: idna<4,>=2.5 in /home/airflow/.local/lib/python3.12/site-packages (from requests>=2.22->dvc[gdrive]) (3.7)
[2024-05-12T20:40:56.636+0000] {subprocess.py:93} INFO - Requirement already satisfied: urllib3<3,>=1.21.1 in /home/airflow/.local/lib/python3.12/site-packages (from requests>=2.22->dvc[gdrive]) (2.2.1)
[2024-05-12T20:40:56.638+0000] {subprocess.py:93} INFO - Requirement already satisfied: certifi>=2017.4.17 in /home/airflow/.local/lib/python3.12/site-packages (from requests>=2.22->dvc[gdrive]) (2024.2.2)
[2024-05-12T20:40:56.650+0000] {subprocess.py:93} INFO - Requirement already satisfied: markdown-it-py>=2.2.0 in /home/airflow/.local/lib/python3.12/site-packages (from rich>=12->dvc[gdrive]) (3.0.0)
[2024-05-12T20:40:56.652+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygments<3.0.0,>=2.13.0 in /home/airflow/.local/lib/python3.12/site-packages (from rich>=12->dvc[gdrive]) (2.17.2)
[2024-05-12T20:40:56.669+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml.clib>=0.2.7 in /home/airflow/.local/lib/python3.12/site-packages (from ruamel.yaml>=0.17.11->dvc[gdrive]) (0.2.8)
[2024-05-12T20:40:56.715+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitpython>3 in /home/airflow/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc[gdrive]) (3.1.43)
[2024-05-12T20:40:56.718+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygit2>=1.14.0 in /home/airflow/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc[gdrive]) (1.14.1)
[2024-05-12T20:40:56.730+0000] {subprocess.py:93} INFO - Requirement already satisfied: asyncssh<3,>=2.13.1 in /home/airflow/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc[gdrive]) (2.14.2)
[2024-05-12T20:40:56.757+0000] {subprocess.py:93} INFO - Requirement already satisfied: setuptools in /home/airflow/.local/lib/python3.12/site-packages (from dulwich->dvc[gdrive]) (66.1.1)
[2024-05-12T20:40:56.957+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp in /home/airflow/.local/lib/python3.12/site-packages (from aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc[gdrive]) (3.9.5)
[2024-05-12T20:40:56.990+0000] {subprocess.py:93} INFO - Requirement already satisfied: cryptography>=39.0 in /home/airflow/.local/lib/python3.12/site-packages (from asyncssh<3,>=2.13.1->scmrepo<4,>=3.3.2->dvc[gdrive]) (41.0.7)
[2024-05-12T20:40:56.992+0000] {subprocess.py:93} INFO - Requirement already satisfied: typing-extensions>=3.6 in /home/airflow/.local/lib/python3.12/site-packages (from asyncssh<3,>=2.13.1->scmrepo<4,>=3.3.2->dvc[gdrive]) (4.11.0)
[2024-05-12T20:40:57.120+0000] {subprocess.py:93} INFO - Requirement already satisfied: prompt-toolkit>=3.0.36 in /home/airflow/.local/lib/python3.12/site-packages (from click-repl>=0.2.0->celery->dvc[gdrive]) (3.0.43)
[2024-05-12T20:40:57.374+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitdb<5,>=4.0.1 in /home/airflow/.local/lib/python3.12/site-packages (from gitpython>3->scmrepo<4,>=3.3.2->dvc[gdrive]) (4.0.11)
[2024-05-12T20:40:57.421+0000] {subprocess.py:93} INFO - Requirement already satisfied: mdurl~=0.1 in /home/airflow/.local/lib/python3.12/site-packages (from markdown-it-py>=2.2.0->rich>=12->dvc[gdrive]) (0.1.2)
[2024-05-12T20:40:57.439+0000] {subprocess.py:93} INFO - Requirement already satisfied: annotated-types>=0.4.0 in /home/airflow/.local/lib/python3.12/site-packages (from pydantic!=2.0.0,<3,>=1.9.0->gto<2,>=1.6.0->dvc[gdrive]) (0.6.0)
